Ticket,Open Time,Type,Volume,Item,Inicio,SL,TP,Close Time,Fin,Commission,Taxes,Swap,Profit
23714191,2019.05.06 16:22:39,sell,0.02,usdcad,1.34849,0,0,2019.05.06 18:55:00,1.34523,0,0,0,4.85
23729303,2019.05.07 04:29:40,buy,0.03,audusd,0.69966,0.69757,0,2019.05.07 07:31:11,0.70288,0,0,0,9.66
23729444,2019.05.07 04:31:08,buy,0.03,audusd,0.69964,0.69756,0,2019.05.07 07:31:15,0.70248,0,0,0,8.52
23729470,2019.05.07 04:32:42,buy,0.03,audusd,0.69944,0.69757,0,2019.05.07 07:31:18,0.70278,0,0,0,10.02
23732802,2019.05.07 07:14:36,sell,0.02,euraud,1.60078,0,0,2019.05.07 07:33:31,1.59322,0,0,0,10.64
23729517,2019.05.07 04:34:04,buy,0.03,eurusd,1.12016,1.11756,1.12851,2019.05.07 14:57:46,1.11756,0,0,0,-7.8
23744917,2019.05.07 14:37:23,sell,0.02,gbpusd,1.30784,0,0,2019.05.07 16:17:13,1.30485,0,0,0,5.98
23744879,2019.05.07 14:36:59,sell,0.02,audusd,0.70167,0,0,2019.05.07 16:55:40,0.70125,0,0,0,0.84
23729552,2019.05.07 04:36:06,buy,0.03,eurusd,1.12015,1.11703,1.12857,2019.05.07 19:03:02,1.11696,0,0,0,-9.57
23729584,2019.05.07 04:37:12,buy,0.03,eurusd,1.12015,1.11702,1.12847,2019.05.07 19:03:02,1.11696,0,0,0,-9.57
23754512,2019.05.07 17:30:56,buy,0.03,eurusd,1.11895,1.11701,0,2019.05.07 19:03:02,1.11696,0,0,0,-5.97
23754407,2019.05.07 17:29:44,buy,0.03,gbpusd,1.30557,1.30147,0,2019.05.08 01:02:42,1.30713,0,0,-0.07,4.68
23754362,2019.05.07 17:29:06,buy,0.03,gbpusd,1.30583,1.30141,0,2019.05.08 01:04:14,1.3071,0,0,-0.07,3.81
23754475,2019.05.07 17:30:18,buy,0.03,gbpusd,1.30508,1.30149,0,2019.05.08 01:04:17,1.3071,0,0,-0.07,6.06
23757949,2019.05.07 19:07:21,sell,0.02,eurnzd,1.69434,0,0,2019.05.08 05:01:35,1.70849,0,0,0.09,-18.56
23744935,2019.05.07 14:37:49,sell,0.02,euraud,1.59487,0,0,2019.05.08 05:01:46,1.59664,0,0,0.06,-2.48
23772298,2019.05.08 04:53:39,buy,0.03,audnzd,1.06395,1.06101,1.08601,2019.05.08 05:02:48,1.07063,0,0,0,13.12
23772416,2019.05.08 04:56:12,buy,0.03,audnzd,1.06407,1.06092,1.07602,2019.05.08 05:02:53,1.07013,0,0,0,11.91
23772452,2019.05.08 04:57:08,sell,0.03,nzdusd,0.65979,0.66354,0.65144,2019.05.08 05:03:02,0.65567,0,0,0,12.36
